term,freq,tfidf,pmi,score,entity_type,keep,alias
机翼,1333,0.230347,4.533726,800.322477,Structure,Y,
变体,1293,0.223435,6.004464,776.467477,Concept,N,
折叠,582,0.100572,7.764522,350.006624,Mechanism,Y,
折叠变体,533,0.0,1.474549,319.947455,Mechanism,Y,折叠变形翼/折叠翼（语义近）
飞机,503,0.08692,4.42973,302.269049,Aircraft,Y,
飞行器,475,0.082082,6.642921,285.688917,Aircraft,Y,航空器
双翼,416,0.071886,4.170964,250.038662,Concept,Y,双翼式构型/双翼布局（视上下文）
变体飞行器,356,0.0,6.182154,214.218215,Aircraft,Y,可变形飞行器
活动,344,0.059444,6.874731,207.105306,Mechanism,Y,可动/可转动
活动机翼,328,0.0,5.339845,197.333984,Structure,Y,可动机翼/变形机翼（语义近）
升力,316,0.054606,6.50982,190.267364,Parameter,Y,
折叠变体飞行器,296,0.0,0.0,177.6,Aircraft,Y,折叠式可变形飞行器
连杆,291,0.050286,8.469819,175.462068,Mechanism,Y,
过程,267,0.046139,7.788242,160.992666,Concept,Y,
变体过程,245,0.0,6.174116,147.617412,Concept,N,
气动,238,0.041127,6.775302,143.489868,Performance,Y,空气动力学（语义近）
展弦比,221,0.03819,7.578435,133.3693,Parameter,Y,纵横比（翼展/弦长比）
副翼,191,0.033005,5.321584,115.14206,ControlMethod,Y,aileiron（副翼）
变化,184,0.031796,5.870789,110.996618,Concept,N,
飞行,177,0.030586,6.450813,106.854257,Mission,Y,
上下,175,0.030241,6.057675,105.61484,Concept,N,
构型,172,0.029722,7.013302,103.910247,Concept,Y,构型/布局型式
阻力,159,0.027476,6.723072,96.08055,Parameter,Y,
单翼,156,0.026957,3.18171,93.926258,Concept,Y,单翼式构型
验证,155,0.026785,8.931877,93.901223,Concept,Y,验证/验证试验（视上下文）
情况,153,0.026439,9.543793,92.762311,Concept,N,
固定,152,0.026266,8.380171,92.045897,Concept,N,
特性,152,0.026266,8.178603,92.02574,Performance,Y,性能特性/性质（语义近）
翼展,146,0.025229,3.207296,87.928298,Parameter,Y,
重量,143,0.024711,7.957029,86.603116,Parameter,Y,质量/重量（语义近，视上下文）
不同,141,0.024365,7.6953,85.37684,Concept,N,
最大,133,0.022983,7.157901,80.522685,Concept,N,
对于,133,0.022983,6.266649,80.43356,Concept,N,
位置,131,0.022637,9.119506,79.518742,Parameter,Y,
上下机翼,131,0.0,5.354589,79.135459,Structure,N,
原理,127,0.021946,8.840493,77.090633,Concept,Y,
原理验证,122,0.0,9.252687,74.125269,Concept,Y,原理验证试验（语义近）
力矩,120,0.020736,5.979854,72.604206,Parameter,Y,
攻角,115,0.019872,8.717335,69.877695,Parameter,Y,迎角
固定机翼,115,0.0,5.336017,69.533602,Structure,Y,非活动机翼
系数,114,0.0197,8.077422,69.213652,Parameter,Y,
机构,112,0.019354,3.509473,67.556753,Mechanism,Y,
参数,108,0.018663,8.508493,65.656448,Parameter,Y,
产生,105,0.018144,9.735254,63.978969,Concept,N,
使用,105,0.018144,7.975114,63.802955,Concept,N,
处于,105,0.018144,7.245659,63.730009,Concept,N,
布局,102,0.017626,9.440735,62.149361,Concept,Y,布置/布局型式
驱动,102,0.017626,6.888327,61.89412,Mechanism,N,
气动力,102,0.017626,5.45036,61.750324,Parameter,Y,
进一步,101,0.017453,9.190876,61.524324,Concept,N,
通过,100,0.01728,7.85765,60.790949,Concept,N,
