term,freq,tfidf,pmi,score,entity_type,keep,alias
机翼,1671,0.337445,5.257439,1003.226977,Structure,Y,
变体,1559,0.307643,6.428624,936.135155,Aircraft,Y,
飞行器,779,0.178631,7.016477,468.155237,Mission,Y,
折叠,667,0.127428,8.513962,401.089625,Mechanism,Y,
飞机,565,0.106485,4.664541,339.4984,Aircraft,Y,
折叠变体,534,0.0,1.957765,320.595776,Mechanism,Y,
气动,486,0.119938,7.082903,292.344272,Performance,Y,
变体飞行器,454,0.0,6.546585,273.054659,Mission,Y,
双翼,416,0.094352,4.882874,250.116593,Concept,Y,
飞行,364,0.090013,6.858719,219.112876,Mission,Y,
升力,356,0.067231,7.055687,214.325738,Concept,Y,
活动,344,0.078022,7.269609,207.150367,Concept,Y,
过程,339,0.068958,8.270695,204.247757,Concept,Y,
活动机翼,328,0.0,6.056129,197.405613,Structure,Y,
morphing,313,0.206597,6.650913,188.52707,Mechanism,Y,
折叠变体飞行器,297,0.0,0.0,178.2,Mechanism,Y,
连杆,291,0.066001,9.212885,175.541089,Concept,Y,
aircraft,264,0.128833,5.099422,158.948592,Aircraft,Y,
变体过程,255,0.0,6.635462,153.663546,Aircraft,Y,
特性,247,0.056437,8.120537,149.028985,Concept,Y,
wing,247,0.13978,6.262546,148.868189,Structure,Y,
展弦比,234,0.042256,8.071681,141.219845,Concept,Y,
变化,224,0.044462,5.852401,134.998579,Concept,Y,
构型,217,0.043983,7.327171,130.945912,Concept,Y,
布局,215,0.053538,9.440696,129.960131,Concept,Y,
变形,211,0.056779,5.46167,127.163201,Mechanism,Y,
不同,202,0.043725,8.297923,122.04291,Concept,Y,
副翼,197,0.034855,6.039847,118.814441,Concept,Y,
阻力,191,0.037605,7.181122,115.329394,Concept,Y,
上下,175,0.039691,6.676058,105.679513,Concept,Y,
固定,168,0.031308,8.901432,101.699536,Concept,Y,
验证,165,0.029917,9.487953,99.95777,Concept,Y,
情况,159,0.0283,10.441536,96.452644,Concept,Y,
重量,157,0.02912,8.352721,95.044008,Concept,Y,
单翼,156,0.035382,3.839023,93.994517,Concept,Y,
发展,154,0.040977,7.367661,93.149059,Concept,Y,
力矩,154,0.031514,6.755588,93.085013,Concept,Y,
翼展,154,0.027729,3.551859,92.763505,Concept,Y,
通过,151,0.033472,8.452834,91.455325,Concept,Y,
对于,151,0.028667,6.480929,91.256693,Concept,Y,
参数,149,0.031671,8.811762,90.290677,Parameter,Y,
系数,145,0.029525,8.291502,87.838008,Concept,Y,
位置,144,0.026732,9.495112,87.357531,Concept,Y,
最大,142,0.025804,7.486824,85.956424,Concept,Y,
应用,137,0.034696,7.712394,82.981648,Concept,Y,
气动特性,137,0.0,7.6613,82.96613,Performance,Y,
方案,134,0.032723,8.562615,81.266078,Concept,Y,
影响,132,0.029466,10.722603,80.2811,Concept,Y,
偏转,132,0.029321,8.617942,80.07059,Concept,Y,
气动力,132,0.027137,5.6402,79.772161,Performance,Y,
产生,131,0.026382,10.222158,79.63013,Concept,Y,
机构,132,0.025681,4.010048,79.608709,Concept,Y,
上下机翼,131,0.0,6.070873,79.207087,Structure,Y,
原理,129,0.022543,9.492088,78.355972,Concept,Y,
攻角,124,0.022699,9.19874,75.326684,Parameter,Y,
原理验证,122,0.0,10.167361,74.216736,Concept,Y,
开展,119,0.028534,7.309537,72.139514,Concept,Y,
主要,118,0.025887,9.031839,71.71095,Concept,Y,
动力学,118,0.025013,6.978494,71.505353,Concept,Y,
固定机翼,115,0.0,6.052301,69.60523,Structure,Y,
起降,111,0.021767,8.807715,67.487302,Concept,Y,
需要,110,0.020049,8.246873,66.830702,Concept,Y,
驱动,110,0.020139,7.290566,66.735098,Mechanism,Y,
降低,106,0.022361,9.121495,64.518858,Concept,Y,
使用,106,0.01843,8.080832,64.413612,Concept,Y,
处于,106,0.01843,7.814362,64.386965,Concept,Y,
进一步,104,0.018376,9.434219,63.348935,Concept,Y,
增加,100,0.01856,9.339279,60.939496,Concept,Y,
飞行器气动,100,0.0,4.158358,60.415836,Performance,Y,
提高,96,0.026023,8.488413,58.456648,Concept,Y,
外形,93,0.024195,7.69723,56.576981,Concept,Y,
弯度,91,0.02254,7.663663,55.373128,Concept,Y,
实现,88,0.025371,9.560899,53.763701,Concept,Y,
变化情况,88,0.0,6.658921,53.465892,Concept,Y,
机翼处于,88,0.0,6.387308,53.438731,Structure,Y,
巡航,85,0.018738,9.323507,51.937972,Mission,Y,
状态,84,0.017547,10.055463,51.41081,Concept,Y,
升力系数,84,0.0,8.324394,51.232439,Concept,Y,
优化,81,0.023726,8.191498,49.426268,Concept,Y,
无人机,80,0.018458,6.233503,48.628888,Aircraft,Y,
改变,80,0.017294,6.110485,48.616237,Concept,Y,
面积,78,0.016221,9.103664,47.715233,Concept,Y,
试验,77,0.016194,9.085947,47.113453,Concept,Y,
概念,76,0.014857,11.511108,46.755568,Concept,Y,
角度,76,0.014711,6.138654,46.218279,Parameter,Y,
变展,76,0.014274,3.204181,45.9247,Concept,Y,
考虑,74,0.016259,11.072299,45.512108,Concept,Y,
变体飞行器气动,75,0.0,3.920178,45.392018,Performance,Y,
代价,73,0.012738,10.702663,44.874088,Concept,Y,
非定常,72,0.017661,10.323279,44.237626,Concept,Y,
机翼升力,73,0.0,2.6452,44.06452,Structure,Y,
之间,71,0.013703,9.11997,43.516108,Concept,Y,
需求,71,0.017051,8.969918,43.502107,Concept,Y,
伸缩,70,0.018044,10.911157,43.096529,Concept,Y,
分别,68,0.012603,8.7828,41.682061,Concept,Y,
公转,68,0.015423,8.441188,41.648746,Concept,Y,
机身,68,0.012603,5.816559,41.385437,Structure,Y,
几何,67,0.013741,11.347161,41.338838,Concept,Y,
满足,67,0.015925,11.307108,41.335488,Concept,Y,
总体设计,66,0.011676,7.944651,40.397968,Concept,Y,
增大,65,0.015434,6.377741,39.642404,Concept,Y,
起飞,64,0.011913,5.116885,38.915262,Mission,Y,
变后,64,0.018901,4.720982,38.877769,Concept,Y,
