id,name,entity_type,source_doc
航天,航天,Concept,DOC001
重复使用,重复使用,Concept,DOC001
航天飞行器结构设计,航天飞行器结构设计,Structure,DOC001
航天飞机,航天飞机,Aircraft,DOC001
结构设计,结构设计,Structure,DOC001
数据,数据,Concept,DOC001
新型航天飞行器结构设计,新型航天飞行器结构设计,Structure,DOC001
航空航天,航空航天,Concept,DOC001
版本,版本,Concept,DOC001
理论,理论,Concept,DOC001
型号,型号,Aircraft,DOC001
经验,经验,ControlMethod,DOC001
重复使用新型航天,重复使用新型航天,Aircraft,DOC001
卫星,卫星,Aircraft,DOC001
载人,载人,Aircraft,DOC001
飞船,飞船,Aircraft,DOC001
运载火箭,运载火箭,Aircraft,DOC001
新型航天,新型航天,Concept,DOC001
应用,应用,Concept,DOC001
发射,发射,Mission,DOC001
成本,成本,Performance,DOC001
效率,效率,Performance,DOC001
方向,方向,Parameter,DOC001
飞行器,飞行器,Aircraft,DOC001
飞行试验,飞行试验,Mission,DOC001
轨道飞行器,轨道飞行器,Aircraft,DOC001
成功,成功,Mission,DOC001
返回,返回,Mission,DOC001
标志,标志,Concept,DOC001
水平,水平,Concept,DOC001
天体,天体,Concept,DOC001
自主,自主,Concept,DOC001
空间,空间,Concept,DOC001
特征,特征,Concept,DOC001
分系统,分系统,Concept,DOC001
力学,力学,Concept,DOC001
工艺,工艺,Concept,DOC001
融合,融合,Concept,DOC001
航天器,航天器,Aircraft,DOC001
航天器结构设计,航天器结构设计,Structure,DOC001
本书,本书,Document,DOC001
方案论证,方案论证,Concept,DOC001
研制,研制,Concept,DOC001
飞机,飞机,Aircraft,DOC001
制造,制造,Concept,DOC001
仿真,仿真,Concept,DOC001
工程应用,工程应用,Concept,DOC001
重复使用新型航天飞行器,重复使用新型航天飞行器,Aircraft,DOC001
航天飞行器,航天飞行器,Mission,DOC001
航天飞行,航天飞行,Mission,DOC001
任务,任务,Mission,DOC001
传统,传统,Concept,DOC001
轨道,轨道,Mission,DOC001
大气层,大气层,Concept,DOC001
一体化,一体化,Concept,DOC001
新型航天飞行器,新型航天飞行器,Aircraft,DOC001
空天,空天,Aircraft,DOC001
需求,需求,Concept,DOC001
范围,范围,Parameter,DOC001
环境,环境,Concept,DOC001
研制阶段,研制阶段,Mission,DOC001
历程,历程,Mission,DOC001
目标,目标,Concept,DOC001
特性,特性,Concept,DOC001
使用寿命,使用寿命,Performance,DOC001
试验验证,试验验证,Concept,DOC001
飞行器结构设计,飞行器结构设计,Structure,DOC001
结构件,结构件,Structure,DOC001
连接,连接,Structure,DOC001
传热,传热,Concept,DOC001
机构,机构,Mechanism,DOC001
防护,防护,Concept,DOC001
损伤容限,损伤容限,Performance,DOC001
制造一体化,制造一体化,Concept,DOC001
数字化,数字化,Concept,DOC001
智能,智能,ControlMethod,DOC001
虚拟,虚拟,Concept,DOC001
信息,信息,Concept,DOC001
准确,准确,Performance,DOC001
快速,快速,Performance,DOC001
教材,教材,Document,DOC001
关键技术,关键技术,Concept,DOC001
设备,设备,Concept,DOC001
构型,构型,Concept,DOC001
可行性,可行性,Concept,DOC001
阶段,阶段,Mission,DOC001
概念设计,概念设计,Concept,DOC001
机身,机身,Structure,DOC001
翼面,翼面,Structure,DOC001
制造过程,制造过程,Concept,DOC001
方案,方案,Concept,DOC001
安全,安全,Performance,DOC001
断裂,断裂,Concept,DOC001
剩余强度,剩余强度,Performance,DOC001
复合材料,复合材料,Concept,DOC001
耐久性,耐久性,Performance,DOC001
损伤,损伤,Concept,DOC001
疲劳,疲劳,Concept,DOC001
机理,机理,Concept,DOC001
能量,能量,Parameter,DOC001
平台,平台,Concept,DOC001
建模,建模,Concept,DOC001
装配,装配,Structure,DOC001
数据库,数据库,Concept,DOC001
定义,定义,Concept,DOC001
方式,方式,Concept,DOC001
管理系统,管理系统,Concept,DOC001
集成,集成,Concept,DOC001
三维,三维,Concept,DOC001
效果,效果,Performance,DOC001
自动化,自动化,Concept,DOC001
自动,自动,ControlMethod,DOC001
铺层,铺层,Structure,DOC001
零件,零件,Structure,DOC001
检测,检测,ControlMethod,DOC001
低成本,低成本,Performance,DOC001
资源,资源,Concept,DOC001
目的,目的,Concept,DOC001
重复使用新型航天飞机,重复使用新型航天飞机,Aircraft,DOC001
重复使用运载,重复使用运载,Concept,DOC001
着陆,着陆,Mission,DOC001
能力,能力,Performance,DOC001
部件,部件,Structure,DOC001
再入,再入,Mission,DOC001
动力学,动力学,Concept,DOC001
新型航天飞机,新型航天飞机,Aircraft,DOC001
可靠性,可靠性,Performance,DOC001
安全性,安全性,Performance,DOC001
风险,风险,Concept,DOC001
类型,类型,Concept,DOC001
有效载荷,有效载荷,Performance,DOC001
回收,回收,Mission,DOC001
展长,展长,Parameter,DOC001
响应,响应,Performance,DOC001
重复使用航天,重复使用航天,Concept,DOC001
动力系统,动力系统,Concept,DOC001
控制系统,控制系统,ControlMethod,DOC001
机体,机体,Structure,DOC001
推进,推进,Concept,DOC001
适应性,适应性,Performance,DOC001
任务需求,任务需求,Mission,DOC001
主体,主体,Concept,DOC001
防护系统,防护系统,Concept,DOC001
燃料,燃料,Parameter,DOC001
组成部分,组成部分,Concept,DOC001
安装,安装,Concept,DOC001
连接强度,连接强度,Performance,DOC001
刚度,刚度,Parameter,DOC001
支撑,支撑,Structure,DOC001
精度,精度,Performance,DOC001
焊接,焊接,Concept,DOC001
品质,品质,Performance,DOC001
维护,维护,Concept,DOC001
使用环境,使用环境,Concept,DOC001
约束,约束,Concept,DOC001
制造工艺,制造工艺,Concept,DOC001
系数,系数,Parameter,DOC001
修理,修理,Concept,DOC001
程序,程序,Concept,DOC001
腐蚀,腐蚀,Concept,DOC001
负载,负载,Performance,DOC001
材料选择,材料选择,Concept,DOC001
计划,计划,Mission,DOC001
入轨,入轨,Mission,DOC001
太空,太空,Mission,DOC001
发动机,发动机,Concept,DOC001
动力,动力,Concept,DOC001
舱段,舱段,Structure,DOC001
改进,改进,Concept,DOC001
验证,验证,Concept,DOC001
巡航,巡航,Mission,DOC001
状态,状态,Concept,DOC001
规划,规划,ControlMethod,DOC001
运输系统,运输系统,Concept,DOC001
可靠,可靠,Performance,DOC001
作战,作战,Mission,DOC001
机动,机动,Mission,DOC001
小型,小型,Aircraft,DOC001
部分,部分,Structure,DOC001
美国空军,美国空军,Concept,DOC001
精确,精确,Performance,DOC001
动能,动能,Parameter,DOC001
风洞,风洞,Concept,DOC001
模拟,模拟,Concept,DOC001
计算机,计算机,Concept,DOC001
理想,理想,Concept,DOC001
无人机,无人机,Aircraft,DOC001
制导,制导,Concept,DOC001
控制技术,控制技术,ControlMethod,DOC001
防热,防热,Concept,DOC001
进场,进场,Mission,DOC001
构架,构架,Structure,DOC001
一阶,一阶,Concept,DOC001
二阶,二阶,Parameter,DOC001
机载,机载,Mission,DOC001
轨道转移,轨道转移,Mission,DOC001
样机,样机,Concept,DOC001
测试,测试,Concept,DOC001
检验,检验,Concept,DOC001
冲压,冲压,Concept,DOC001
乘员,乘员,Concept,DOC001
探测,探测,Mission,DOC001
助推器,助推器,Concept,DOC001
飞行器飞行,飞行器飞行,Mission,DOC001
飞行器构件,飞行器构件,Structure,DOC001
垂直,垂直,Concept,DOC001
起飞,起飞,Mission,DOC001
基准,基准,Mission,DOC001
外形,外形,Concept,DOC001
喷射,喷射,Concept,DOC001
文件,文件,Document,DOC001
军用,军用,Concept,DOC001
体系,体系,Concept,DOC001
流体,流体,Concept,DOC001
超声速飞行,超声速飞行,Mission,DOC001
高温,高温,Concept,DOC001
耐高温,耐高温,Performance,DOC001
模态,模态,Concept,DOC001
超声速,超声速,Mission,DOC001
飞行马赫数,飞行马赫数,Parameter,DOC001
气流,气流,Concept,DOC001
超声速飞行器,超声速飞行器,Aircraft,DOC001
可控,可控,Performance,DOC001
稳定性,稳定性,Performance,DOC001
风洞试验,风洞试验,Document,DOC001
分离,分离,Mechanism,DOC001
火工,火工,Concept,DOC001
飞机飞行,飞机飞行,Mission,DOC001
航程,航程,Performance,DOC001
高速,高速,Mission,DOC001
气动,气动,Performance,DOC001
试飞,试飞,Mission,DOC001
低温,低温,Concept,DOC001
密封,密封,Concept,DOC001
导航,导航,ControlMethod,DOC001
俯冲,俯冲,Mission,DOC001
气动力,气动力,Performance,DOC001
液氢,液氢,Concept,DOC001
喷气发动机,喷气发动机,Concept,DOC001
模式,模式,Concept,DOC001
喷气式,喷气式,Concept,DOC001
独立,独立,Parameter,DOC001
策略,策略,ControlMethod,DOC001
演示验证,演示验证,Mission,DOC001
航道,航道,Mission,DOC001
运行,运行,Concept,DOC001
高度,高度,Parameter,DOC001
降落,降落,Mission,DOC001
点火,点火,Concept,DOC001
燃烧,燃烧,Concept,DOC001
马赫数,马赫数,Parameter,DOC001
飞行状态,飞行状态,Mission,DOC001
飞行器发展,飞行器发展,Mission,DOC001
布局,布局,Concept,DOC001
组合,组合,Concept,DOC001
循环,循环,Mission,DOC001
空气,空气,Concept,DOC001
涡轮,涡轮,Structure,DOC001
物理,物理,Concept,DOC001
高空,高空,Mission,DOC001
动力装置,动力装置,Concept,DOC001
经济性,经济性,Performance,DOC001
高效,高效,Performance,DOC001
喷气,喷气,Concept,DOC001
无人,无人,Aircraft,DOC001
示意图,示意图,Document,DOC001
氧化,氧化,Concept,DOC001
推力,推力,Parameter,DOC001
大气,大气,Mission,DOC001
发动机工作,发动机工作,Concept,DOC001
冷却,冷却,Mechanism,DOC001
进气道,进气道,Structure,DOC001
加热,加热,Concept,DOC001
区域,区域,Concept,DOC001
液氧,液氧,Parameter,DOC001
前端,前端,Concept,DOC001
设计方案,设计方案,Concept,DOC001
飞行任务,飞行任务,Mission,DOC001
静态,静态,Concept,DOC001
动态,动态,Performance,DOC001
加速度,加速度,Parameter,DOC001
振动,振动,Performance,DOC001
冲击,冲击,Concept,DOC001
摩擦,摩擦,Concept,DOC001
过载,过载,Parameter,DOC001
运动,运动,Concept,DOC001
载荷作用,载荷作用,Parameter,DOC001
失稳,失稳,Performance,DOC001
破坏,破坏,Concept,DOC001
激励,激励,Concept,DOC001
耦合,耦合,Concept,DOC001
共振,共振,Concept,DOC001
现象,现象,Concept,DOC001
变形,变形,Mechanism,DOC001
载荷条件,载荷条件,Performance,DOC001
碰撞,碰撞,Concept,DOC001
条件,条件,Parameter,DOC001
器件,器件,Concept,DOC001
失效,失效,Concept,DOC001
环境条件,环境条件,Mission,DOC001
飞行器载荷,飞行器载荷,Performance,DOC001
严重,严重,Concept,DOC001
正常工作,正常工作,Concept,DOC001
仪器设备,仪器设备,Concept,DOC001
界面,界面,Concept,DOC001
接口,接口,Concept,DOC001
管路,管路,Structure,DOC001
天线,天线,Structure,DOC001
超过,超过,Parameter,DOC001
辐射,辐射,Concept,DOC001
骨架,骨架,Structure,DOC001
整体,整体,Concept,DOC001
构形,构形,Concept,DOC001
尺寸,尺寸,Parameter,DOC001
连接形式,连接形式,Concept,DOC001
本体,本体,Structure,DOC001
飞行器研制,飞行器研制,Mission,DOC001
设计阶段,设计阶段,Mission,DOC001
试验数据,试验数据,Concept,DOC001
优化,优化,Concept,DOC001
周期,周期,Performance,DOC001
因素,因素,Concept,DOC001
必要,必要,Concept,DOC001
方案设计,方案设计,Concept,DOC001
初步设计,初步设计,Concept,DOC001
产品制造,产品制造,Concept,DOC001
依据,依据,Concept,DOC001
指标,指标,Performance,DOC001
任务要求,任务要求,Mission,DOC001
分配,分配,Concept,DOC001
原理,原理,Concept,DOC001
反馈,反馈,ControlMethod,DOC001
数学模型,数学模型,Concept,DOC001
适用性,适用性,Performance,DOC001
合理性,合理性,Performance,DOC001
节点,节点,Concept,DOC001
规定,规定,Concept,DOC001
程度,程度,Concept,DOC001
分析方法,分析方法,Concept,DOC001
协调,协调,ControlMethod,DOC001
技术指标,技术指标,Performance,DOC001
零部件,零部件,Structure,DOC001
参数,参数,Parameter,DOC001
系统结构,系统结构,Structure,DOC001
机构运动,机构运动,Concept,DOC001
理论基础,理论基础,Concept,DOC001
有效性,有效性,Performance,DOC001
产品装配,产品装配,Structure,DOC001
标准,标准,Document,DOC001
工艺过程,工艺过程,Concept,DOC001
解决方案,解决方案,Concept,DOC001
趋势,趋势,Concept,DOC001
中心,中心,Concept,DOC001
返回舱,返回舱,Aircraft,DOC001
接近,接近,Mission,DOC001
机翼,机翼,Structure,DOC001
垂直尾翼,垂直尾翼,Structure,DOC001
起落架,起落架,Structure,DOC001
舱门,舱门,Structure,DOC001
配置,配置,Parameter,DOC001
壳体,壳体,Structure,DOC001
铝合金,铝合金,Structure,DOC001
框架,框架,Structure,DOC001
舱壁,舱壁,Structure,DOC001
合金,合金,Concept,DOC001
蒙皮,蒙皮,Structure,DOC001
壁板,壁板,Structure,DOC001
铆接,铆接,Structure,DOC001
机头,机头,Structure,DOC001
截面,截面,Structure,DOC001
组件,组件,Concept,DOC001
板材,板材,Structure,DOC001
支架,支架,Structure,DOC001
螺栓,螺栓,Structure,DOC001
连接件,连接件,Structure,DOC001
部位,部位,Structure,DOC001
纵梁,纵梁,Structure,DOC001
稳定,稳定,Performance,DOC001
适应,适应,ControlMethod,DOC001
气动加热,气动加热,Performance,DOC001
金属,金属,Concept,DOC001
构件,构件,Structure,DOC001
舱内,舱内,Mission,DOC001
可用,可用,Performance,DOC001
连接结构,连接结构,Structure,DOC001
侧面,侧面,Structure,DOC001
前部,前部,Structure,DOC001
反作用,反作用,Concept,DOC001
舱体,舱体,Structure,DOC001
绝热,绝热,Concept,DOC001
承力,承力,Performance,DOC001
通道,通道,Structure,DOC001
隔热材料,隔热材料,Structure,DOC001
密封件,密封件,Structure,DOC001
前舱,前舱,Structure,DOC001
隔热,隔热,Concept,DOC001
隔板,隔板,Structure,DOC001
舱盖,舱盖,Structure,DOC001
层板,层板,Structure,DOC001
驾驶,驾驶,Concept,DOC001
指令,指令,ControlMethod,DOC001
口盖,口盖,Structure,DOC001
俯仰,俯仰,Concept,DOC001
分布,分布,Concept,DOC001
仪器,仪器,Concept,DOC001
直径,直径,Parameter,DOC001
铰链,铰链,Structure,DOC001
开关,开关,Structure,DOC001
圆锥,圆锥,Structure,DOC001
测量,测量,Concept,DOC001
对接,对接,Mechanism,DOC001
隔热层,隔热层,Structure,DOC001
正常,正常,Mission,DOC001
玻璃,玻璃,Concept,DOC001
防热层,防热层,Structure,DOC001
外层,外层,Structure,DOC001
高性能,高性能,Performance,DOC001
纤维,纤维,Concept,DOC001
入射,入射,Concept,DOC001
作用力,作用力,Parameter,DOC001
纵向,纵向,Concept,DOC001
板结构,板结构,Structure,DOC001
板式,板式,Structure,DOC001
机械,机械,Structure,DOC001
电缆,电缆,Structure,DOC001
间隙,间隙,Parameter,DOC001
螺栓连接,螺栓连接,Structure,DOC001
夹层,夹层,Structure,DOC001
对称,对称,Concept,DOC001
蜂窝,蜂窝,Structure,DOC001
面板,面板,Structure,DOC001
石墨,石墨,Concept,DOC001
环氧树脂,环氧树脂,Structure,DOC001
0°,0°,Parameter,DOC001
45°,45°,Parameter,DOC001
环氧,环氧,Concept,DOC001
厚度,厚度,Parameter,DOC001
接头,接头,Structure,DOC001
舰载,舰载,Concept,DOC001
轨道运行,轨道运行,Mission,DOC001
剪切,剪切,Concept,DOC001
联接,联接,Structure,DOC001
定位,定位,Concept,DOC001
操纵,操纵,ControlMethod,DOC001
密封材料,密封材料,Concept,DOC001
噪声,噪声,Performance,DOC001
外壳,外壳,Structure,DOC001
加强,加强,Structure,DOC001
尾部,尾部,Structure,DOC001
防热材料,防热材料,Structure,DOC001
薄板,薄板,Structure,DOC001
尾翼,尾翼,Structure,DOC001
前翼,前翼,Structure,DOC001
紧固件,紧固件,Structure,DOC001
弹性,弹性,Concept,DOC001
滑动,滑动,Concept,DOC001
传动,传动,Mechanism,DOC001
传送,传送,Concept,DOC001
轻质,轻质,Performance,DOC001
粘接,粘接,Concept,DOC001
垂尾,垂尾,Structure,DOC001
支座,支座,Structure,DOC001
玻璃纤维,玻璃纤维,Concept,DOC001
长度,长度,Parameter,DOC001
热层,热层,Concept,DOC001
喷管,喷管,Structure,DOC001
控制力,控制力,Parameter,DOC001
升降副翼,升降副翼,Structure,DOC001
连续,连续,Concept,DOC001
行程,行程,Parameter,DOC001
波纹,波纹,Structure,DOC001
翼梁,翼梁,Structure,DOC001
平面,平面,Concept,DOC001
前缘,前缘,Structure,DOC001
外侧,外侧,Concept,DOC001
拉杆,拉杆,Structure,DOC001
衬条,衬条,Structure,DOC001
升降,升降,Concept,DOC001
铰接,铰接,Mechanism,DOC001
液压,液压,Concept,DOC001
子系统,子系统,Concept,DOC001
副翼,副翼,Structure,DOC001
40°,40°,Parameter,DOC001
25°,25°,Parameter,DOC001
飞行控制系统,飞行控制系统,ControlMethod,DOC001
作动器,作动器,Structure,DOC001
衬套,衬套,Structure,DOC001
机翼前缘,机翼前缘,Structure,DOC001
剖面,剖面,Structure,DOC001
后缘,后缘,Structure,DOC001
腹板,腹板,Structure,DOC001
轴承,轴承,Mechanism,DOC001
扭矩,扭矩,Parameter,DOC001
机械连接,机械连接,Structure,DOC001
端面,端面,Structure,DOC001
方向舵,方向舵,Structure,DOC001
舵面,舵面,Structure,DOC001
减速板,减速板,Structure,DOC001
27°,27°,Parameter,DOC001
偏转,偏转,ControlMethod,DOC001
减速,减速,Mission,DOC001
49.30°,49.30°,Parameter,DOC001
成分,成分,Concept,DOC001
上下,上下,Concept,DOC001
烧蚀,烧蚀,Concept,DOC001
太阳能,太阳能,Concept,DOC001
电池,电池,Concept,DOC001
复合材料整体,复合材料整体,Structure,DOC001
胶接,胶接,Mechanism,DOC001
数量,数量,Parameter,DOC001
重量,重量,Parameter,DOC001
承载能力,承载能力,Performance,DOC001
碳纤维,碳纤维,Concept,DOC001
固化,固化,Mechanism,DOC001
树脂,树脂,Concept,DOC001
金属结构,金属结构,Structure,DOC001
钛合金,钛合金,Concept,DOC001
传力,传力,Structure,DOC001
弯矩,弯矩,Parameter,DOC001
发动机推力,发动机推力,Parameter,DOC001
开口,开口,Structure,DOC001
气动载荷,气动载荷,Parameter,DOC001
着陆时,着陆时,Mission,DOC001
角度,角度,Parameter,DOC001
固定翼,固定翼,Aircraft,DOC001
贮箱,贮箱,Structure,DOC001
布置,布置,Structure,DOC001
平衡,平衡,Concept,DOC001
展向,展向,Parameter,DOC001
隔框,隔框,Structure,DOC001
序列,序列,Concept,DOC001
位移,位移,Parameter,DOC001
体积,体积,Parameter,DOC001
尾段,尾段,Structure,DOC001
翼板,翼板,Structure,DOC001
蜂窝夹层,蜂窝夹层,Structure,DOC001
有限元,有限元,Concept,DOC001
复合材料结构设计,复合材料结构设计,Structure,DOC001
模具,模具,Structure,DOC001
成型工艺,成型工艺,Concept,DOC001
起降,起降,Mission,DOC001
翼展,翼展,Parameter,DOC001
起飞重量,起飞重量,Performance,DOC001
主要参数,主要参数,Parameter,DOC001
推进剂,推进剂,Parameter,DOC001
倾角,倾角,Parameter,DOC001
51.6°,51.6°,Parameter,DOC001
98°,98°,Parameter,DOC001
次数,次数,Parameter,DOC001
桁架,桁架,Structure,DOC001
泡沫,泡沫,Concept,DOC001
动压,动压,Parameter,DOC001
上升,上升,Mission,DOC001
热流,热流,Concept,DOC001
飞行器气动,飞行器气动,Performance,DOC001
弯曲,弯曲,Structure,DOC001
陶瓷,陶瓷,Concept,DOC001
密度,密度,Parameter,DOC001
极限,极限,Performance,DOC001
优点,优点,Concept,DOC001
热压,热压,Concept,DOC001
涂层,涂层,Structure,DOC001
介质,介质,Concept,DOC001
弹道,弹道,Mission,DOC001
效应,效应,Concept,DOC001
大于,大于,Parameter,DOC001
气体,气体,Concept,DOC001
复合,复合,Structure,DOC001
间隔,间隔,Parameter,DOC001
变化范围,变化范围,Parameter,DOC001
过渡,过渡,Mission,DOC001
高压,高压,Parameter,DOC001
流动,流动,Concept,DOC001
对流,对流,Concept,DOC001
热导率,热导率,Parameter,DOC001
宽度,宽度,Parameter,DOC001
隔离,隔离,Concept,DOC001
压强,压强,Parameter,DOC001
轴线,轴线,Concept,DOC001
飞行过程,飞行过程,Mission,DOC001
扭转,扭转,Structure,DOC001
近似,近似,Concept,DOC001
环形,环形,Concept,DOC001
起点,起点,Concept,DOC001
翼身,翼身,Concept,DOC001
连接处,连接处,Structure,DOC001
模块化,模块化,Concept,DOC001
刚性,刚性,Performance,DOC001
应力水平,应力水平,Parameter,DOC001
弹性模量,弹性模量,Parameter,DOC001
选取,选取,Concept,DOC001
单向,单向,Concept,DOC001
滑跑,滑跑,Mission,DOC001
故障,故障,Concept,DOC001
法向,法向,Parameter,DOC001
侧向,侧向,Concept,DOC001
飞行器质量,飞行器质量,Parameter,DOC001
验证飞行器,验证飞行器,Aircraft,DOC001
爬升,爬升,Mission,DOC001
航向,航向,Parameter,DOC001
低空,低空,Mission,DOC001
释放,释放,Mission,DOC001
实现飞行器,实现飞行器,Mission,DOC001
倾斜,倾斜,Concept,DOC001
刚度要求,刚度要求,Performance,DOC001
锥形,锥形,Concept,DOC001
曲面,曲面,Concept,DOC001
传动机构,传动机构,Mechanism,DOC001
