id,name,entity_type,source_doc
航天,航天,Concept,DOC001
可重复使用,可重复使用,Concept,DOC001
飞行器结构设计,飞行器结构设计,Structure,DOC001
定价,定价,Concept,DOC001
航天飞机,航天飞机,Aircraft,DOC001
结构设计,结构设计,Structure,DOC001
版权所有,版权所有,Concept,DOC001
图书在版编目,图书在版编目,Concept,DOC001
数据,数据,Parameter,DOC001
可重复使用新型航天飞行器结构设计,可重复使用新型航天飞行器结构设计,Structure,DOC001
航天器,航天器,Aircraft,DOC001
第2,第2,Concept,DOC001
公司,公司,Concept,DOC001
工作,工作,Concept,DOC001
发展,发展,Concept,DOC001
基础,基础,Concept,DOC001
通过,通过,Concept,DOC001
电话,电话,Concept,DOC001
现代,现代,Concept,DOC001
卫星,卫星,Mission,DOC001
飞船,飞船,Aircraft,DOC001
中的,中的,Concept,DOC001
这种,这种,Concept,DOC001
在20,在20,Concept,DOC001
世纪30,世纪30,Concept,DOC001
年代初,年代初,Concept,DOC001
单位,单位,Concept,DOC001
的方法,的方法,Concept,DOC001
世纪,世纪,Concept,DOC001
应用,应用,Concept,DOC001
降低,降低,Concept,DOC001
发射,发射,Mission,DOC001
提高,提高,Concept,DOC001
未来,未来,Concept,DOC001
随着,随着,Concept,DOC001
成为,成为,Concept,DOC001
方向,方向,Parameter,DOC001
第二,第二,Concept,DOC001
飞行器,飞行器,Aircraft,DOC001
飞行试验,飞行试验,Mission,DOC001
轨道,轨道,Mission,DOC001
水平,水平,Concept,DOC001
材料,材料,Concept,DOC001
工艺,工艺,Concept,DOC001
的学科,的学科,Concept,DOC001
为了,为了,Concept,DOC001
航天器结构设计,航天器结构设计,Structure,DOC001
方案,方案,Concept,DOC001
编著,编著,Concept,DOC001
过程中,过程中,Concept,DOC001
特点,特点,Concept,DOC001
飞机,飞机,Aircraft,DOC001
结构分析,结构分析,Structure,DOC001
制造,制造,Concept,DOC001
仿真,仿真,Concept,DOC001
方面,方面,Concept,DOC001
实际,实际,Concept,DOC001
而且,而且,Concept,DOC001
参考,参考,Concept,DOC001
飞行,飞行,Mission,DOC001
任务,任务,Mission,DOC001
的作用,的作用,Concept,DOC001
一体化,一体化,Concept,DOC001
虽然,虽然,Concept,DOC001
满足,满足,Concept,DOC001
当前,当前,Concept,DOC001
需要,需要,Concept,DOC001
范围,范围,Concept,DOC001
环境,环境,Concept,DOC001
相关,相关,Concept,DOC001
说明,说明,Concept,DOC001
要求,要求,Concept,DOC001
第1,第1,Concept,DOC001
概论,概论,Concept,DOC001
阶段,阶段,Concept,DOC001
第3,第3,Concept,DOC001
目标,目标,Concept,DOC001
特性,特性,Concept,DOC001
试验,试验,Concept,DOC001
验证,验证,Concept,DOC001
第4,第4,Concept,DOC001
连接,连接,Concept,DOC001
第6,第6,Concept,DOC001
损伤,损伤,Concept,DOC001
第7,第7,Concept,DOC001
重复,重复,Concept,DOC001
智能,智能,Concept,DOC001
情况,情况,Concept,DOC001
这些,这些,Concept,DOC001
程中,程中,Concept,DOC001
研究员,研究员,Concept,DOC001
的基础上,的基础上,Concept,DOC001
快速,快速,Concept,DOC001
其他,其他,Concept,DOC001
关键技术,关键技术,Concept,DOC001
载荷,载荷,Performance,DOC001
设备,设备,Concept,DOC001
可行性论证阶段,可行性论证阶段,Concept,DOC001
概念设计阶段,概念设计阶段,Concept,DOC001
概述,概述,Concept,DOC001
机身,机身,Structure,DOC001
翼面,翼面,Structure,DOC001
过程,过程,Concept,DOC001
的关系,的关系,Concept,DOC001
强度,强度,Concept,DOC001
复合材料结构的耐久性,复合材料结构的耐久性,Performance,DOC001
复合材料,复合材料,Concept,DOC001
