doc_id,original_file_name,ascii_file_name
DOC001,0_可重复使用新型航天飞行器结构设计.txt,doc001_reusable_space_vehicle_structure_design.txt
DOC002,0_航天飞机空气动力学分析.txt,doc002_space_shuttle_aerodynamics_analysis.txt
DOC003,1_飞行器气动设计 .txt,doc003_aircraft_aerodynamic_design.txt
DOC004,2018311055郭廷宇.txt,doc004_guo_tingyu_cja_paper.txt
DOC005,2_飞行器结构设计 .txt,doc005_aircraft_structure_design.txt
DOC006,变体飞行器变形方式及气动布局设计关键技术研究进展_加水印.txt,doc006_morphing_aircraft_morphing_modes_and_aerodynamic_layout_review.txt
DOC007,变构飞行器控制技术发展现状与展望.txt,doc007_morphing_aircraft_control_technology_review.txt
DOC008,国防科技著作精品译丛  变体飞行器与结构_14229129.txt,doc008_morphing_aircraft_and_structures_book.txt
DOC009,空天变构飞行技术专栏序_包为民.txt,doc009_aerospace_morphing_flight_editorial_bao_weimin.txt
DOC010,空天变构飞行技术研究现状与未来发展研判_刘思佳.txt,doc010_aerospace_morphing_flight_status_and_future_liu_sijia.txt
DOC011,航天器飞行动力学原理_肖业伦.txt,doc011_spacecraft_flight_dynamics_principles_xiao_yelun.txt
DOC012,航天飞行动力学.txt,doc012_astronautical_flight_dynamics.txt
DOC013,论文-CJA.txt,doc013_cja_morphing_aircraft_paper.txt
DOC014,跨域变构飞行器变形方案设计及气动特性分析_安英韬.txt,doc014_cross_domain_morphing_aircraft_scheme_and_aerodynamics_an_yingtao.txt
DOC015,跨域变构飞行器自学习模型预测姿态控制方法_贾正宇.txt,doc015_cross_domain_morphing_aircraft_self_learning_mpc_attitude_control_jia_zhengyu.txt
