alias,canonical,entity_type
条件,工作条件,Parameter
阶段,飞行阶段,Mission
制造,制造工艺,Concept
稳定性,动/静稳定性,Performance
方式,控制/实现方式,Concept
部分,部段/部分结构,Structure
设备,设备/舱内设备,Concept
工艺,制造/加工工艺,Concept
morphing,变形飞行（形态可变）,Mechanism
地面,地面工况,Mission
矢量,力/速度矢量,Parameter
曲线,气动/力学曲线,Concept
能力,控制能力,Performance
矩阵,状态/系统矩阵,Concept
水平,水平面/水平向,Concept
扰动,气动扰动,Concept
平衡,力平衡,Concept
周期,周期性,Performance
整体,整体性能/整体结构,Concept
大气,大气环境,Mission
刚度,结构刚度,Parameter
姿态,飞行姿态,Concept
损伤,结构损伤,Concept
振动,结构振动,Concept
角度,迎角/偏转角等角度参数,Parameter
偏转,舵面偏转/矢量偏转,ControlMethod
受力,受力状态,Concept
攻角,攻角 α,Parameter
aircraft,飞行器,Aircraft
马赫数,马赫数 M,Parameter
几何,几何参数,Parameter
重量,重量/质量,Parameter
防热,防热（热防护）,Concept
响应,系统响应,Performance
过载,过载 n,Parameter
俯仰,俯仰运动,Concept
动态,动态特性,Performance
引力,重力/引力,Parameter
原理,工作原理,Concept
假设,建模假设,Concept
坐标,坐标系,Parameter
建模,数值建模,Concept
公式,数学公式,Concept
再入,再入飞行,Mission
近似,近似计算,Concept
翅膀,机翼,Structure
wing,机翼,Structure
精度,计算精度,Performance
连杆,连杆机构,Mechanism
构件,结构构件,Structure
特征,特征参数,Concept
破坏,结构破坏,Concept
网格,计算网格,Concept
预测,预测模型,Concept
模拟,仿真,Concept
可靠,可靠性,Performance
控制系统,飞行控制系统,ControlMethod
传统,传统方法,Concept
自动,自动控制,ControlMethod
模式,工作模式,Concept
支撑,支撑结构,Structure
布置,布局,Structure
限制,约束,Concept
智能,智能控制,ControlMethod
可用,可用性,Performance
冲击,激波冲击,Concept
现象,气动/动力学现象,Concept
弯曲,弯曲变形,Structure
低速,低速飞行,Mission
新型航天,新型航天飞行器,Concept
扭转,扭转变形,Structure
升阻,升阻特性,Performance
安全,飞行安全,Performance
推进,推进系统,Concept
部位,结构部位,Structure
规定,技术规定/规范,Concept
物理,物理量/物理模型,Concept
椭圆,椭圆形,Concept
目的,研究目的,Concept
螺栓,螺栓连接,Structure
均匀,均匀流,Performance
下降,下降过程,Mission
平均,平均值,Parameter
附加,附加载荷,Performance
机械,机械结构,Structure
随机,随机过程,Concept
重复使用新型航天,重复使用航天飞行器,Aircraft
适应,适应性控制,ControlMethod
金属,金属材料,Concept
刚体,刚体模型,Concept
对接,对接机构,Mechanism
地心,地心引力,Parameter
接近,接近阶段,Mission
风洞,风洞试验,Concept
重复使用新型航天飞行器,重复使用航天飞行器,Aircraft
单元,计算单元,Structure
缺陷,结构缺陷,Concept
过渡,过渡过程,Mission
时刻,时间时刻,Parameter
标准,工程标准,Document
蜂窝,蜂窝夹芯,Structure
准则,评价准则,Concept
循环,循环工况,Mission
诱导,诱导效应,Concept
效果,效果评估,Performance
固化,固化过程,Mechanism
超过,超过阈值,Parameter
侧向,侧向运动,Concept
路径,飞行路径,Mission
精确,精确度,Performance
高速,高速飞行,Mission
快速,快速响应,Performance
树脂,树脂基体,Concept
加强,结构加筋,Structure
变构,变构飞行器,Aircraft
协调,控制协调,ControlMethod
传力,传力路径,Structure
临界,临界状态,Concept
策略,控制策略,ControlMethod
承力,承力能力,Performance
返回,返回飞行,Mission
准确,准确性,Performance
非定常,非定常流动,Concept
框架,框架结构,Structure
滚转,滚转运动,Concept
低温,低温环境,Concept
输出,输出量,Parameter
经验,经验方法,ControlMethod
太阳能,太阳能系统,Concept
配置,参数配置,Parameter
防护,防护设计,Concept
性质,物性参数,Parameter
法向,法向方向,Parameter
检测,结构检测,ControlMethod
转换,物理量转换,Concept
面板,蒙皮面板,Structure
强度刚度,强度与刚度,Performance
理想,理想模型,Concept
平尾,水平尾翼,Structure
要素,关键要素,Concept
航向,航向角,Parameter
摆动,摆动运动,Concept
压缩,压缩过程,Concept
起降,起降阶段,Mission
黏性,黏性效应,Concept
集成,系统集成,Concept
投影,投影量,Parameter
软件,飞行仿真软件,Document
焊接,焊接工艺,Concept
补偿,误差补偿,ControlMethod
导引,制导与导引,ControlMethod
关系式,气动/力学关系式,Concept
传动,传动系统,Mechanism
平台,飞行平台,Concept
融合,信息融合,Concept
合金,合金材料,Concept
柔性,柔性结构,Concept
虚拟,虚拟（仿真）,Concept
正常,正常工况,Mission
基准,基准工况,Mission
独立,独立变量,Parameter
代价,代价函数,ControlMethod
改进,性能改进,Concept
原则,工程原则,Concept
