term,freq,tfidf,pmi,score,entity_type,keep,alias
飞行器,5108,0.843583,7.441099,3065.797185,Mission,Y,
机翼,3384,0.517797,5.912955,2031.146635,Structure,Y,
飞行,3342,0.55342,7.002083,2006.066234,Mission,Y,
气动,2666,0.431712,6.570712,1600.386585,Performance,Y,
变体,2461,0.615922,6.630371,1477.447814,Aircraft,Y,
飞机,2275,0.281078,5.553218,1365.639645,Aircraft,Y,
运动,2119,0.121145,6.833207,1272.119664,Concept,Y,
轨道,1993,0.121222,9.176335,1196.754,Concept,Y,
要求,1981,0.128067,7.625821,1189.401002,Concept,Y,
试验,1950,0.168618,9.238615,1170.974447,Concept,Y,
主要,1906,0.143879,7.884494,1144.431613,Concept,Y,
载荷,1850,0.136593,9.336854,1110.974663,Performance,Y,
材料,1781,0.191896,9.392005,1069.596769,Concept,Y,
过程,1727,0.214879,7.385716,1037.003035,Concept,Y,
速度,1676,0.112921,6.91986,1006.325862,Parameter,Y,
通过,1663,0.205044,8.270825,998.688596,Concept,Y,
影响,1628,0.139565,10.023652,977.844235,Concept,Y,
系数,1614,0.17881,6.035522,969.057195,Concept,Y,
变化,1553,0.181416,6.696949,932.52412,Concept,Y,
一个,1545,0.124215,6.627966,927.700061,Concept,Y,
特性,1539,0.21418,7.122636,924.176518,Concept,Y,
参数,1513,0.193233,7.677718,908.625742,Parameter,Y,
升力,1468,0.162383,6.706406,881.519355,Concept,Y,
作用,1429,0.094454,6.45334,858.07367,Concept,Y,
情况,1383,0.113355,10.575112,830.891518,Concept,Y,
不同,1377,0.173498,7.592113,827.011261,Concept,Y,
产生,1376,0.113037,9.023051,826.536216,Concept,Y,
力矩,1336,0.125501,6.64699,802.302349,Concept,Y,
确定,1323,0.093682,7.811166,794.609221,Concept,Y,
动力学,1302,0.138468,6.938368,781.935377,Concept,Y,
使用,1275,0.123235,6.77894,765.714864,Concept,Y,
连接,1274,0.096609,8.78071,765.307054,Concept,Y,
状态,1240,0.151885,9.051901,744.950756,Concept,Y,
航天器,1239,0.077432,6.878538,744.111083,Aircraft,Y,
需要,1231,0.129375,7.441553,739.382968,Concept,Y,
对于,1201,0.108867,5.722974,721.204958,Concept,Y,
方向,1164,0.081867,6.243489,699.048909,Concept,Y,
考虑,1162,0.101862,10.571356,698.287694,Concept,Y,
