term,freq,tfidf,pmi,score,entity_type,keep,alias
morphing,471,741.996512,7.051062,505.90406,Mechanism,Y,
aircraft,397,511.209783,5.84546,392.147481,Aircraft,Y,
wing,308,452.761118,7.455,321.373835,Structure,Y,
飞行器结构设计,182,557.378919,7.316693,277.145345,Structure,Y,
飞行器气动设计,168,517.346179,7.563791,256.760233,Performance,Y,
航天飞行动力学,130,400.3274,7.943264,198.892547,Mission,Y,
可重复使用新型航天飞行器结构设计,67,203.243142,7.854167,101.958359,Structure,Y,
双折叠翼变体飞行器的气动特性研究,46,138.574869,10.412581,70.213719,Mechanism,Y,
双折叠翼变体飞行器的气动特性研究,46,138.574869,10.412581,70.213719,Mechanism,Y,
机翼,52,88.043653,5.912963,58.204392,Structure,Y,
飞机部件的气动设计,33,101.621571,7.529604,51.039432,Performance,Y,
飞机,43,72.805329,5.553117,48.19691,Aircraft,Y,
航天器飞行动力学,28,86.224363,7.329744,43.400283,Mission,Y,
导弹飞行动力学,27,83.144922,6.721603,41.815637,Mission,Y,
临近空间飞行动力学,26,80.06548,9.406598,40.560304,Mission,Y,
双折叠翼变体飞行器的原理验证研究,26,76.986039,10.412581,39.73707,Mechanism,Y,
高度,37,54.390134,5.456783,39.062719,Performance,Y,
前缘缝翼,27,72.197364,7.863359,38.645545,Concept,Y,
速度,33,55.873857,6.919867,37.254144,Parameter,Y,
复合材料结构设计,24,73.906597,6.36588,37.208567,Structure,Y,
攻角,32,54.18071,8.952427,36.349456,Parameter,Y,
翼型,27,64.429948,5.632986,36.092283,Structure,Y,
飞机气动布局初步设计,23,70.827155,7.570246,35.805171,Performance,Y,
双折叠翼变体飞行器总体设计方法研究,23,67.747714,10.320961,35.15641,Mechanism,Y,
uav,30,54.800357,3.633935,34.803501,Aircraft,Y,
机翼低速和亚声速空气动力特性,22,67.747714,7.540027,34.278317,Structure,Y,
在变体过程中,24,58.509389,5.187537,32.47157,Aircraft,Y,
升力,28,47.408121,6.706413,31.693078,Concept,Y,
力矩,28,47.408121,6.646997,31.687136,Concept,Y,
强度,22,58.827482,7.000127,31.548257,Concept,Y,
机身,26,47.493643,6.678003,30.515893,Structure,Y,
矢量,21,50.112182,8.36305,28.469959,Concept,Y,
超声速与跨声速翼型和机翼的空气动力特性,18,55.429948,8.106957,28.23968,Structure,Y,
飞行动态特性分析,18,55.429948,7.492244,28.178209,Mission,Y,
应力,21,50.112182,4.762179,28.109872,Concept,Y,
双折叠翼变体飞行器的结构机构设计研究,18,52.350506,10.412581,27.54641,Mechanism,Y,
面积,25,39.384104,7.284444,27.543676,Concept,Y,
内侧,20,47.725887,6.410829,26.958849,Structure,Y,
瞬时平衡,17,52.350506,10.003295,26.905481,Concept,Y,
尾翼,22,43.578244,6.143694,26.887842,Structure,Y,
鸟类和蝙蝠的翅膀变形,17,52.350506,8.892446,26.794396,Mechanism,Y,
双缝襟翼,17,52.350506,7.851677,26.69032,Structure,Y,
系数,25,34.367336,6.035529,25.913754,Parameter,Y,
飞机设计手册,19,45.339593,7.570246,25.758902,Document,Y,
刚度,19,45.339593,7.138621,25.71574,Performance,Y,
数据,23,36.233375,7.283331,25.398346,Parameter,Y,
变化,23,36.233375,6.696787,25.339691,Mechanism,Y,
翼型低速空气动力特性,16,49.271065,7.898983,25.171218,Performance,Y,
减小,21,38.36025,8.363634,24.944438,Parameter,Y,
状态,20,39.616585,9.051908,24.790166,Parameter,Y,
增加,23,33.810083,8.109724,24.753997,Parameter,Y,
副翼,20,39.616585,7.707519,24.655727,ControlMethod,Y,
弹簧,18,42.953299,9.206902,24.60668,Structure,Y,
马赫数,22,34.658011,7.852252,24.382629,Parameter,Y,
阻力,23,31.617949,6.770081,23.962393,Performance,Y,
飞行器的载荷分析,15,46.191623,7.570246,23.614512,Performance,Y,
升阻比,17,40.567004,9.218706,23.291972,Performance,Y,
孔径,16,42.783623,8.293558,23.264443,Parameter,Y,
轰炸机,16,42.783623,7.483993,23.183486,Aircraft,Y,
战斗机,16,42.783623,7.322928,23.16738,Aircraft,Y,
坐标系,17,40.567004,7.923105,23.162412,Parameter,Y,
变体,17,40.567004,6.630209,23.033122,Aircraft,Y,
外侧,17,40.567004,6.445694,23.014671,Structure,Y,
参数,20,33.862944,7.677726,22.926656,Parameter,Y,
密度,20,33.862944,6.332555,22.792139,Parameter,Y,
后掠角,19,34.706893,7.780024,22.59007,Parameter,Y,
质量,19,34.706893,7.625981,22.574666,Parameter,Y,
单缝襟翼,14,43.112182,7.898983,22.123553,Structure,Y,
空气动力学,17,36.773564,8.508114,22.082881,Performance,Y,
方程组,14,43.112182,6.965676,22.030222,Concept,Y,
升力线斜率,15,40.109647,9.866325,22.019526,Performance,Y,
方向,19,32.169796,6.243496,21.675289,Parameter,Y,
压力,18,32.880214,5.832036,21.247268,Parameter,Y,
飞行器,17,33.674097,7.440942,21.046323,Aircraft,Y,
函数,18,30.476649,8.081894,20.751184,Concept,Y,
高超声速飞行器气动设计,13,40.03274,7.910218,20.600844,Performance,Y,
方向舵,15,35.794415,8.096029,20.547928,ControlMethod,Y,
梯形翼,13,40.03274,6.67659,20.477481,Aircraft,Y,
航天器结构设计,13,40.03274,5.890541,20.398876,Structure,Y,
气动力,16,31.693268,5.739071,19.681888,Performance,Y,
双折叠翼变体飞行器的动力学和控制研究,12,36.953299,10.412581,19.327248,ControlMethod,Y,
全动平尾,12,36.953299,10.306471,19.316637,Structure,Y,
侧滑角,14,33.408121,8.800424,19.302479,Parameter,Y,
支架,13,34.761694,8.637577,19.092266,Structure,Y,
重量,16,29.226857,5.645461,18.932603,Parameter,Y,
俯仰,16,27.090355,11.554195,18.882526,ControlMethod,Y,
升力系数,15,29.712439,8.051256,18.718857,Performance,Y,
卫星,14,30.284111,11.522275,18.637461,Mission,Y,
航天飞机,14,30.284111,6.927395,18.177973,Aircraft,Y,
发射,13,31.021827,8.021431,17.908691,Mission,Y,
激波,12,32.087717,10.606253,17.88694,Concept,Y,
应变,14,30.284111,3.713138,17.856547,Parameter,Y,
双折叠,11,33.873857,10.195021,17.781659,Mechanism,Y,
远程火箭与航天器再入弹道,11,33.873857,9.563199,17.718477,Mission,Y,
双折叠翼变体,11,33.873857,8.38323,17.60048,Mechanism,Y,
气动设计,12,32.087717,5.275946,17.35391,Performance,Y,
变形,14,27.73161,5.637957,17.283279,Mechanism,Y,
尺寸,11,29.413741,11.613378,16.58546,Parameter,Y,
升降副翼,12,28.635532,7.863359,16.576996,ControlMethod,Y,
展弦比,13,25.75078,9.636272,16.488861,Performance,Y,
机翼面积,12,28.635532,6.132603,16.40392,Structure,Y,
翼梁,12,28.635532,4.993908,16.29005,Structure,Y,
安全系数,11,29.413741,8.025247,16.226647,Performance,Y,
着陆,12,25.95781,10.808727,16.068216,Mission,Y,
结构设计,13,25.75078,5.37269,16.062503,Structure,Y,
储箱的结构设计,10,30.794415,7.854167,16.023741,Structure,Y,
巡航,12,25.95781,8.87342,15.874685,Mission,Y,
螺栓,10,26.739764,11.689755,15.190905,Structure,Y,
推力,11,26.249238,5.779727,15.052744,Performance,Y,
超声速,11,23.794659,8.846092,14.623007,Mission,Y,
结构形式,10,26.739764,5.836496,14.605579,Structure,Y,
双折叠翼变体飞行器,9,27.714974,8.166486,14.531141,Aircraft,Y,
简单襟翼,9,27.714974,7.618852,14.476377,Structure,Y,
蒙皮,11,21.789122,11.957698,14.332506,Structure,Y,
俯仰力矩系数,10,23.862944,8.053056,13.964189,Parameter,Y,
阵风,10,23.862944,7.542833,13.913166,Mission,Y,
发动机,11,21.789122,7.377797,13.874516,Structure,Y,
航天器,10,23.862944,6.878546,13.846738,Aircraft,Y,
螺钉,9,24.065788,10.472255,13.666962,Structure,Y,
轨道,9,24.065788,9.176343,13.537371,Mission,Y,
隔框,9,24.065788,9.097135,13.52945,Structure,Y,
弦长,11,20.093464,8.776703,13.50571,Parameter,Y,
最大起飞重量,10,21.556091,8.60089,13.326916,Mission,Y,
接触间断,8,24.635532,9.405584,13.131218,Mechanism,Y,
载荷,11,18.624619,9.336861,13.121072,Performance,Y,
上下机翼处于不同位置时双翼的升力线斜率,8,24.635532,8.774317,13.068091,Performance,Y,
上下机翼处于不同位置时双翼的失速攻角,8,24.635532,8.774317,13.068091,Performance,Y,
初始应变,8,24.635532,8.216142,13.012274,Parameter,Y,
双折叠翼变,8,24.635532,8.176536,13.008313,Mechanism,Y,
重力,11,20.093464,3.764394,13.004479,Concept,Y,
上下机翼处于不同位置时双翼的最大升力系数,8,24.635532,8.109639,13.001624,Performance,Y,
前缘襟翼,8,24.635532,7.898983,12.980558,Structure,Y,
活动机翼,8,24.635532,7.837953,12.974455,Structure,Y,
局部应力,8,24.635532,7.398328,12.930492,Performance,Y,
侧缘,8,24.635532,6.621265,12.852786,Structure,Y,
mpc,9,24.065788,1.461983,12.765935,ControlMethod,Y,
前缘,9,21.476649,8.879748,12.73097,Structure,Y,
弯矩,9,21.476649,7.454851,12.58848,Performance,Y,
振动,9,21.476649,6.295298,12.472525,Performance,Y,
起飞,10,19.808293,4.809434,12.423431,Mission,Y,
俯仰力矩,10,18.266786,9.402484,12.420284,Performance,Y,
飞行高度,9,21.476649,5.13433,12.356428,Performance,Y,
飞行时间,9,21.476649,3.388293,12.181824,Mission,Y,
雷诺数,9,19.468357,7.939714,12.034479,Parameter,Y,
襟翼,9,19.468357,7.815567,12.022064,Structure,Y,
夹层结构,8,21.391811,7.602432,11.977787,Structure,Y,
压力系数,8,21.391811,7.514158,11.968959,Performance,Y,
平尾,8,21.391811,7.297475,11.947291,Structure,Y,
飞机总体设计,8,21.391811,6.309228,11.848466,Aircraft,Y,
裂痕,7,21.556091,11.517136,11.818541,Structure,Y,
转轴,8,21.391811,5.810534,11.798597,Structure,Y,
航程,8,21.391811,3.420623,11.559606,Performance,Y,
动稳定性,8,21.391811,3.332818,11.550825,Performance,Y,
临界压强,7,21.556091,8.756181,11.542445,Parameter,Y,
气动实验与测量控制,7,21.556091,8.61517,11.528344,ControlMethod,Y,
可重复使用新型航天飞机结构设计,7,21.556091,7.910218,11.457849,Structure,Y,
翼根效应,7,21.556091,7.898983,11.456726,Concept,Y,
双折叠翼,7,21.556091,7.865879,11.453415,Mechanism,Y,
飞行器结构可靠性设计,7,21.556091,7.570246,11.423852,Structure,Y,
遗传算法,9,16.440107,9.226038,11.254636,ControlMethod,Y,
无人机,8,19.090355,6.967664,11.223873,Aircraft,Y,
变后掠,8,19.090355,6.528586,11.179965,Mechanism,Y,
主襟翼,7,21.556091,4.96092,11.162919,Structure,Y,
设计变量,8,19.090355,6.114347,11.138541,Parameter,Y,
阻力系数,9,16.440107,7.823258,11.114358,Performance,Y,
上机翼,7,21.556091,4.152634,11.082091,Structure,Y,
偏航,9,16.440107,5.697869,10.901819,ControlMethod,Y,
返回舱,7,18.717835,9.624694,10.77782,Aircraft,Y,
分离,8,17.305206,7.194985,10.71106,Mechanism,Y,
亚声速,7,18.717835,8.914578,10.706808,Concept,Y,
俯仰角,8,17.305206,7.051715,10.696733,Parameter,Y,
控制系统,8,17.305206,6.484327,10.639995,ControlMethod,Y,
成本低,8,17.305206,6.340653,10.625627,Performance,Y,
地面坐标系,7,18.717835,8.021196,10.61747,Parameter,Y,
胶接,7,18.717835,7.994796,10.61483,Structure,Y,
迎风面,7,18.717835,7.976307,10.612981,Concept,Y,
隔热层,7,18.717835,7.821625,10.597513,Structure,Y,
后缘,7,18.717835,7.621931,10.577544,Structure,Y,
升降舵,8,15.846634,9.851825,10.539173,Structure,Y,
飞船,7,18.717835,6.851266,10.500477,Aircraft,Y,
刚度要求,7,18.717835,6.234168,10.438767,Parameter,Y,
上反角,8,15.846634,8.359279,10.389918,Parameter,Y,
相对面积,7,18.717835,5.465406,10.361891,Parameter,Y,
翼面,7,18.717835,4.500922,10.265443,Structure,Y,
密封圈,6,18.476649,10.976551,10.24065,Structure,Y,
鸟类和蝙蝠的翅膀变形构造和功能,17,0.0,0.0,10.2,Mechanism,Y,
环氧树脂,6,18.476649,10.477137,10.190708,Structure,Y,
