term,freq,tfidf,pmi,score,entity_type,keep,alias
飞行器,5108,0.843583,7.441099,3065.797185,Aircraft,Y,
机翼,3384,0.517797,5.912955,2031.146635,Structure,Y,
气动,2666,0.431712,6.570712,1600.386585,Performance,Y,
变体,2461,0.615922,6.630371,1477.447814,Aircraft,Y,
飞机,2275,0.281078,5.553218,1365.639645,Aircraft,Y,
运动,2119,0.121145,6.833207,1272.119664,Concept,Y,
轨道,1993,0.121222,9.176335,1196.754,Mission,Y,
系数,1614,0.17881,6.035522,969.057195,Parameter,Y,
特性,1539,0.21418,7.122636,924.176518,Concept,Y,
参数,1513,0.193233,7.677718,908.625742,Parameter,Y,
动力学,1302,0.138468,6.938368,781.935377,Concept,Y,
连接,1274,0.096609,8.78071,765.307054,Structure,Y,
状态,1240,0.151885,9.051901,744.950756,Concept,Y,
航天器,1239,0.077432,6.878538,744.111083,Aircraft,Y,
方向,1164,0.081867,6.243489,699.048909,Parameter,Y,
坐标系,1120,0.050987,7.923098,672.807606,Parameter,Y,
翼型,1114,0.109097,5.632979,668.996027,Structure,Y,
数据,1086,0.095633,7.283324,652.357022,Concept,Y,
机构,1085,0.133101,4.324812,651.472411,Mechanism,Y,
复合材料,1016,0.101154,9.533484,610.583695,Concept,Y,
条件,972,0.099275,8.672378,584.09702,Parameter,Y,工作条件
航天飞机,971,0.125108,6.927388,583.330271,Aircraft,Y,
应用,942,0.129886,5.099271,565.748893,Concept,Y,
结构设计,896,0.074159,5.372683,538.159516,Structure,Y,
分离,876,0.067898,7.194978,526.339867,Mechanism,Y,
优化,875,0.107399,8.012288,525.833448,Concept,Y,
变形,863,0.283995,5.638119,518.44901,Mechanism,Y,
空间,837,0.074873,7.570922,502.979554,Concept,Y,
折叠,827,0.335735,11.099304,497.410651,Mechanism,Y,
函数,794,0.075508,8.081887,477.230841,Concept,Y,
目标,784,0.05976,8.536683,471.271596,Concept,Y,
机身,754,0.094426,6.677996,453.096127,Structure,Y,
布局,752,0.145868,9.639816,452.207742,Concept,Y,
环境,740,0.074556,10.458514,445.068218,Concept,Y,
动力,733,0.058591,5.065118,440.324089,Concept,Y,
变体飞行器,730,0.0,7.149193,438.714919,Mission,Y,
航天,722,0.11372,8.726235,434.106739,Concept,Y,
发动机,720,0.059343,7.37779,432.755582,Concept,Y,
空气,715,0.069026,6.590612,429.679769,Concept,Y,
外形,710,0.096392,6.902063,426.719124,Concept,Y,
超声速,705,0.116338,8.846084,423.91951,Mission,Y,
方案,704,0.093697,8.150753,423.243184,Concept,Y,
平面,703,0.048439,6.329241,422.447456,Concept,Y,
稳定,686,0.089263,8.247096,412.451489,Performance,Y,
高度,671,0.053496,5.456775,403.161726,Parameter,Y,
形状,657,0.068286,7.176865,394.938172,Concept,Y,
理论,653,0.060523,8.569593,392.675116,Concept,Y,
分布,652,0.068652,6.91804,391.9124,Concept,Y,
装配,651,0.072571,8.998541,391.521625,Structure,Y,
阶段,645,0.081033,9.646685,387.988978,Mission,Y,飞行阶段
流动,635,0.06887,4.930655,381.513726,Concept,Y,
制造,633,0.061619,8.07449,380.625935,Concept,Y,制造工艺
部件,615,0.050593,6.985274,369.713705,Structure,Y,
验证,608,0.081733,8.276774,365.652197,Concept,Y,
任务,602,0.102592,11.040568,362.334834,Mission,Y,
稳定性,600,0.111926,6.930792,360.726657,Performance,Y,动/静稳定性
方式,595,0.110126,4.626555,357.495693,Concept,Y,控制/实现方式
翼面,577,0.063315,4.500914,346.669086,Structure,Y,
部分,571,0.054512,6.1774,343.234094,Structure,Y,部段/部分结构
尺寸,563,0.057036,11.613371,338.978448,Parameter,Y,
范围,551,0.055763,11.48777,331.765506,Parameter,Y,
设备,551,0.041706,7.600509,331.372563,Concept,Y,设备/舱内设备
安装,543,0.042879,9.032562,326.71612,Concept,Y,
前缘,543,0.062028,8.879741,326.706582,Structure,Y,
弹道,540,0.02447,6.908148,324.698156,Mission,Y,
操纵,536,0.05059,10.318246,322.647002,ControlMethod,Y,
气动力,535,0.069714,5.739064,321.594821,Performance,Y,
折叠变体,534,0.0,4.271186,320.827119,Mechanism,Y,
工艺,526,0.06648,9.52962,316.572906,Concept,Y,制造/加工工艺
重复使用,521,0.112671,7.809742,313.414775,Concept,Y,
厚度,511,0.057358,7.594794,307.376687,Parameter,Y,
效应,505,0.070509,6.533313,303.674484,Concept,Y,
定义,489,0.037043,7.819864,294.193099,Concept,Y,
飞行动力学,486,0.0,6.701598,292.27016,Mission,Y,
卫星,483,0.031849,11.522268,290.961781,Aircraft,Y,
可靠性,483,0.040962,7.487975,290.561086,Performance,Y,
中心,483,0.046045,6.270662,290.44088,Concept,Y,
构型,482,0.304133,4.469806,289.738221,Concept,Y,
因素,481,0.037727,9.083525,289.51967,Concept,Y,
研制,481,0.051736,6.687156,289.284236,Concept,Y,
分量,476,0.028195,4.514132,286.059872,Concept,Y,
迎角,475,0.049504,8.935346,285.908386,Parameter,Y,
morphing,471,0.517393,7.051054,283.460323,Mechanism,Y,变形飞行（形态可变）
纵向,471,0.075,7.530242,283.375524,Concept,Y,
发射,467,0.032558,8.021424,281.01191,Mission,Y,
副翼,457,0.072802,7.707512,274.992592,Structure,Y,
曲线,451,0.068369,8.814528,271.501964,Concept,Y,气动/力学曲线
能力,450,0.061153,4.009378,270.419284,Performance,Y,控制能力
矩阵,446,0.042001,9.269364,268.539537,Concept,Y,状态/系统矩阵
水平,440,0.046164,9.32399,264.946248,Concept,Y,水平面/水平向
扰动,440,0.050013,6.445739,264.659578,Concept,Y,气动扰动
平衡,439,0.033747,9.425855,264.35271,Concept,Y,力平衡
周期,432,0.032338,10.534012,260.263103,Performance,Y,周期性
整体,432,0.041589,6.895549,259.902032,Concept,Y,整体性能/整体结构
双翼,428,0.148917,6.279378,257.472613,Aircraft,Y,
