term,freq,tfidf,pmi,score,entity_type,keep,alias
morphing,471,741.996512,7.051062,505.90406,Mechanism,Y,
aircraft,397,511.209783,5.84546,392.147481,Aircraft,Y,
wing,308,452.761118,7.455,321.373835,Structure,Y,
飞行器结构设计,182,557.378919,7.316693,277.145345,Structure,Y,
飞行器气动设计,168,517.346179,7.563791,256.760233,Performance,Y,
航天飞行动力学,130,400.3274,7.943264,198.892547,Mission,Y,
和式,102,160.687143,1.665368,109.57268,Concept,Y,
可重复使用新型航天飞行器结构设计,67,203.243142,7.854167,101.958359,Structure,Y,
则有,82,138.838069,4.198306,91.271251,Concept,Y,
双折叠翼变体飞行器的气动特性研究,46,138.574869,10.412581,70.213719,Mechanism,Y,
米格,48,128.350869,10.41976,68.347237,Concept,Y,
于是,53,96.813964,2.519614,61.096151,Concept,Y,
最后,57,78.357527,5.772186,58.284477,Concept,Y,
机翼,52,88.043653,5.912963,58.204392,Structure,Y,
可知,44,95.178636,6.216583,55.575249,Concept,Y,
飞机部件的气动设计,33,101.621571,7.529604,51.039432,Performance,Y,
飞机,43,72.805329,5.553117,48.19691,Aircraft,Y,
全球鹰,33,88.241222,10.724183,47.344785,Concept,Y,
航天器飞行动力学,28,86.224363,7.329744,43.400283,Mission,Y,
导弹飞行动力学,27,83.144922,6.721603,41.815637,Mission,Y,
的关系,34,67.348195,3.895877,40.994046,Concept,Y,
临近空间飞行动力学,26,80.06548,9.406598,40.560304,Mission,Y,
双折叠翼变体飞行器的原理验证研究,26,76.986039,10.412581,39.73707,Mechanism,Y,
高度,37,54.390134,5.456783,39.062719,Performance,Y,
前缘缝翼,27,72.197364,7.863359,38.645545,Concept,Y,
首先,37,50.863658,11.246467,38.583744,Concept,Y,
简称,27,72.197364,7.229259,38.582135,Concept,Y,
增大,30,64.894524,6.577059,38.126063,Concept,Y,
试验,34,53.562381,9.238622,37.392576,Concept,Y,
速度,33,55.873857,6.919867,37.254144,Parameter,Y,
复合材料结构设计,24,73.906597,6.36588,37.208567,Structure,Y,
第8,24,73.906597,3.271631,36.899142,Concept,Y,
攻角,32,54.18071,8.952427,36.349456,Parameter,Y,
翼型,27,64.429948,5.632986,36.092283,Structure,Y,
实际上,32,54.18071,6.25801,36.080014,Concept,Y,
飞机气动布局初步设计,23,70.827155,7.570246,35.805171,Performance,Y,
位置,29,57.444048,8.815287,35.514743,Concept,Y,
材料,30,54.800357,9.392012,35.379308,Concept,Y,
概述,30,54.800357,7.711264,35.211234,Concept,Y,
双折叠翼变体飞行器总体设计方法研究,23,67.747714,10.320961,35.15641,Mechanism,Y,
uav,30,54.800357,3.633935,34.803501,Aircraft,Y,
锥如对于织梁来说,22,67.747714,11.760859,34.7004,Concept,Y,
第1,26,62.043653,2.740621,34.487158,Concept,Y,
在式,30,54.800357,0.430397,34.483147,Concept,Y,
机翼低速和亚声速空气动力特性,22,67.747714,7.540027,34.278317,Structure,Y,
总之,30,50.794415,4.984519,33.736776,Concept,Y,
的变化,29,52.973679,3.818683,33.673972,Concept,Y,
苏联,23,61.501458,11.090319,33.359469,Concept,Y,
西安,27,53.48239,9.144955,33.159212,Concept,Y,
续表,26,56.241921,5.101103,32.982687,Concept,Y,
第7,23,61.501458,4.002497,32.650687,Concept,Y,
以上,28,51.147,4.058766,32.549977,Concept,Y,
对于单,21,64.668272,4.946513,32.495133,Concept,Y,
在变体过程中,24,58.509389,5.187537,32.47157,Aircraft,Y,
升力,28,47.408121,6.706413,31.693078,Concept,Y,
力矩,28,47.408121,6.646997,31.687136,Concept,Y,
强度,22,58.827482,7.000127,31.548257,Concept,Y,
幻影,20,61.588831,10.163721,31.493021,Concept,Y,
第5章变体飞行器建模与仿真,20,61.588831,9.919603,31.46861,Mission,Y,
那么,24,51.915619,12.059723,31.180658,Concept,Y,
同样,27,45.714974,6.898992,30.604391,Concept,Y,
由此,28,44.110196,5.500861,30.583145,Concept,Y,
机身,26,47.493643,6.678003,30.515893,Structure,Y,
也就是说,26,44.021827,9.979793,29.804527,Concept,Y,
当然,26,44.021827,5.809565,29.387504,Concept,Y,
第一,25,45.666964,5.60672,29.260761,Concept,Y,
一般情况下,24,45.559073,7.66017,28.833739,Concept,Y,
矢量,21,50.112182,8.36305,28.469959,Concept,Y,
第6,20,53.479529,3.695752,28.413434,Concept,Y,
因而,25,42.32868,5.457045,28.244308,Concept,Y,
超声速与跨声速翼型和机翼的空气动力特性,18,55.429948,8.106957,28.23968,Structure,Y,
有关,21,50.112182,5.471295,28.180784,Concept,Y,
飞行动态特性分析,18,55.429948,7.492244,28.178209,Mission,Y,
因为,25,42.32868,4.686905,28.167294,Concept,Y,
应力,21,50.112182,4.762179,28.109872,Concept,Y,
这时,24,43.840286,3.057619,27.857848,Concept,Y,
由图4,22,47.589318,3.544557,27.831251,Concept,Y,
阿波罗,20,47.725887,14.184338,27.7362,Concept,Y,
双折叠翼变体飞行器的结构机构设计研究,18,52.350506,10.412581,27.54641,Mechanism,Y,
面积,25,39.384104,7.284444,27.543676,Concept,Y,
综上所述,23,42.013607,10.910218,27.495104,Concept,Y,
双折叠翼变体飞行器来说,18,52.350506,9.070466,27.412198,Mechanism,Y,
这里,23,42.013607,8.489217,27.253004,Concept,Y,
之间,23,42.013607,8.26373,27.230455,Concept,Y,
内侧,20,47.725887,6.410829,26.958849,Concept,Y,
瞬时平衡,17,52.350506,10.003295,26.905481,Concept,Y,
尾翼,22,43.578244,6.143694,26.887842,Structure,Y,
第4章智能变体无人机的形状与飞行控制,17,52.350506,8.992292,26.804381,ControlMethod,Y,
及式,19,50.805552,1.603861,26.802052,Concept,Y,
鸟类和蝙蝠的翅膀变形,17,52.350506,8.892446,26.794396,Mechanism,Y,
构造和功能,17,52.350506,7.892718,26.694424,Concept,Y,
双缝襟翼,17,52.350506,7.851677,26.69032,Concept,Y,
从式,23,42.013607,2.432573,26.647339,Concept,Y,
事实上,22,40.186929,8.282463,26.084325,Concept,Y,
飞行,25,34.367336,7.002035,26.010404,Mission,Y,
系数,25,34.367336,6.035529,25.913754,Concept,Y,
第二,21,41.597414,8.22366,25.90159,Concept,Y,
飞机设计手册,19,45.339593,7.570246,25.758902,Aircraft,Y,
刚度,19,45.339593,7.138621,25.71574,Concept,Y,
成为,18,48.131576,3.609009,25.600374,Concept,Y,
数据,23,36.233375,7.283331,25.398346,Concept,Y,
第2章昆虫,16,49.271065,9.919603,25.37328,Concept,Y,
变化,23,36.233375,6.696787,25.339691,Concept,Y,
第7章具有时变惯量的变体飞行器飞行动力学,16,49.271065,9.528578,25.334177,Mission,Y,
翼型低速空气动力特性,16,49.271065,7.898983,25.171218,Structure,Y,
而且,22,37.249238,7.421447,25.116916,Concept,Y,
减小,21,38.36025,8.363634,24.944438,Concept,Y,
状态,20,39.616585,9.051908,24.790166,Concept,Y,
度攻角,16,49.271065,3.847067,24.766026,Parameter,Y,
增加,23,33.810083,8.109724,24.753997,Concept,Y,
副翼,20,39.616585,7.707519,24.655727,Concept,Y,
弹簧,18,42.953299,9.206902,24.60668,Concept,Y,
注意到,18,42.953299,7.267259,24.412715,Concept,Y,
双折叠翼变体飞行器的概念,16,46.191623,9.25903,24.38339,Mechanism,Y,
马赫数,22,34.658011,7.852252,24.382629,Parameter,Y,
除此之外,22,33.862944,9.662812,24.325164,Concept,Y,
与此同时,21,35.556091,8.451688,24.111996,Concept,Y,
在图4,20,39.616585,2.257785,24.110754,Concept,Y,
即有,17,45.457599,2.06246,24.043526,Concept,Y,
阻力,23,31.617949,6.770081,23.962393,Concept,Y,
飞行器的载荷分析,15,46.191623,7.570246,23.614512,Performance,Y,
计划,19,37.635756,6.707127,23.361439,Concept,Y,
升阻比,17,40.567004,9.218706,23.291972,Performance,Y,
孔径,16,42.783623,8.293558,23.264443,Concept,Y,
轰炸机,16,42.783623,7.483993,23.183486,Concept,Y,
战斗机,16,42.783623,7.322928,23.16738,Concept,Y,
坐标系,17,40.567004,7.923105,23.162412,Concept,Y,
利用式,19,37.635756,3.946187,23.085345,Concept,Y,
变体,17,40.567004,6.630209,23.033122,Aircraft,Y,
外侧,17,40.567004,6.445694,23.014671,Concept,Y,
参数,20,33.862944,7.677726,22.926656,Parameter,Y,
然后,20,33.862944,7.440417,22.902925,Concept,Y,
和图,19,37.635756,1.377746,22.828501,Concept,Y,
密度,20,33.862944,6.332555,22.792139,Concept,Y,
后掠角,19,34.706893,7.780024,22.59007,Concept,Y,
质量,19,34.706893,7.625981,22.574666,Concept,Y,
公式,19,34.706893,7.281535,22.540221,Concept,Y,
通过,22,28.329006,8.270833,22.525785,Concept,Y,
俄罗斯,16,38.18071,13.290209,22.383234,Concept,Y,
单缝襟翼,14,43.112182,7.898983,22.123553,Concept,Y,
空气动力学,17,36.773564,8.508114,22.082881,Performance,Y,
方程组,14,43.112182,6.965676,22.030222,Concept,Y,
升力线斜率,15,40.109647,9.866325,22.019526,Concept,Y,
在这种情况下,19,32.880214,6.998503,21.963915,Concept,Y,
运输,16,38.18071,8.15336,21.869549,Concept,Y,
方向,19,32.169796,6.243496,21.675289,Concept,Y,
对于,19,32.169796,5.722981,21.623237,Concept,Y,
与式,17,36.773564,0.965347,21.328604,Concept,Y,
压力,18,32.880214,5.832036,21.247268,Concept,Y,
飞行器,17,33.674097,7.440942,21.046323,Mission,Y,
总的来说,18,30.476649,10.84712,21.027707,Concept,Y,
第11章分级控制与先进变体系统的规划,13,40.03274,9.919603,20.801782,ControlMethod,Y,
第6章仿鸟飞行器的飞行动力学建模,13,40.03274,9.640049,20.773827,Mission,Y,
函数,18,30.476649,8.081894,20.751184,Concept,Y,
定义,18,30.476649,7.819872,20.724982,Concept,Y,
第三节,13,40.03274,8.317055,20.641528,Concept,Y,
高超声速飞行器气动设计,13,40.03274,7.910218,20.600844,Performance,Y,
冗入,13,40.03274,7.500068,20.559829,Concept,Y,
方向舵,15,35.794415,8.096029,20.547928,Concept,Y,
第二节,13,40.03274,7.095979,20.51942,Concept,Y,
梯形翼,13,40.03274,6.67659,20.477481,Concept,Y,
第一节,13,40.03274,6.208679,20.43069,Concept,Y,
航天器结构设计,13,40.03274,5.890541,20.398876,Structure,Y,
下标,16,34.610413,3.276368,20.310761,Concept,Y,
这种,17,31.053536,7.35021,20.251082,Concept,Y,
气动,17,31.053536,6.570719,20.173133,Performance,Y,
常数,17,31.053536,4.43192,19.959253,Concept,Y,
制造,16,31.693268,8.074497,19.91543,Concept,Y,
的函数,17,31.053536,2.372174,19.753278,Concept,Y,
其次,18,28.356555,4.103914,19.717358,Concept,Y,
气动力,16,31.693268,5.739071,19.681888,Performance,Y,
白鹏,13,34.761694,14.533316,19.68184,Concept,Y,
反之,16,31.693268,5.312725,19.639253,Concept,Y,
确定,15,32.447262,7.811174,19.515296,Concept,Y,
假设,15,32.447262,7.792222,19.513401,Concept,Y,
意义,14,33.408121,9.070163,19.329453,Concept,Y,
双折叠翼变体飞行器的动力学和控制研究,12,36.953299,10.412581,19.327248,ControlMethod,Y,
包括,17,26.78119,10.824633,19.31682,Concept,Y,
全动平尾,12,36.953299,10.306471,19.316637,Concept,Y,
侧滑角,14,33.408121,8.800424,19.302479,Concept,Y,
的影响,17,28.783502,4.403987,19.275449,Concept,Y,
第五节,12,36.953299,9.820067,19.267996,Concept,Y,
要求,14,33.408121,7.625828,19.185019,Concept,Y,
气体与流动的基本性质与描述,12,36.953299,8.61517,19.147507,Concept,Y,
支架,13,34.761694,8.637577,19.092266,Concept,Y,
一方面,16,29.226857,5.90646,18.958703,Concept,Y,
重量,16,29.226857,5.645461,18.932603,Concept,Y,
的关系是,14,33.408121,4.606796,18.883116,Concept,Y,
俯仰,16,27.090355,11.554195,18.882526,Concept,Y,
升力系数,15,29.712439,8.051256,18.718857,Concept,Y,
通常,15,29.712439,7.915345,18.705266,Concept,Y,
卫星,14,30.284111,11.522275,18.637461,Concept,Y,
第3,13,34.761694,2.878856,18.516394,Concept,Y,
在本节中,14,31.021827,6.640049,18.370553,Concept,Y,
一般地,15,29.712439,4.213095,18.335041,Concept,Y,
